Term,NaturalCourt,Docket,CaseName,DecisionDate,Justice,VoteDescription,WinningParty
2023,1710,22-674,CAMPOS-CHAVES v. GARLAND,6/14/2024,NMGorsuch,Dissent,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-674,CAMPOS-CHAVES v. GARLAND,6/14/2024,BMKavanaugh,Majority or plurality,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-674,CAMPOS-CHAVES v. GARLAND,6/14/2024,ACBarrett,Majority or plurality,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-674,CAMPOS-CHAVES v. GARLAND,6/14/2024,KBJackson,Dissent,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-721,MCELRATH v. GEORGIA,2/21/2024,JGRoberts,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-721,MCELRATH v. GEORGIA,2/21/2024,CThomas,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-721,MCELRATH v. GEORGIA,2/21/2024,SAAlito,Regular concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-721,MCELRATH v. GEORGIA,2/21/2024,SSotomayor,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-721,MCELRATH v. GEORGIA,2/21/2024,EKagan,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-721,MCELRATH v. GEORGIA,2/21/2024,NMGorsuch,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-721,MCELRATH v. GEORGIA,2/21/2024,BMKavanaugh,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-721,MCELRATH v. GEORGIA,2/21/2024,ACBarrett,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-721,MCELRATH v. GEORGIA,2/21/2024,KBJackson,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-800,MOORE v. UNITED STATES,6/20/2024,JGRoberts,Majority or plurality,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
