Term,NaturalCourt,Docket,CaseName,DecisionDate,Justice,VoteDescription,ActualVote,WinningParty
2022,1710,21-908,BARTENWERFER v. BUCKLEY,2/22/2023,SSotomayor,regular concurrence,Respondent,Respondent/Appellee won
2022,1710,21-908,BARTENWERFER v. BUCKLEY,2/22/2023,EKagan,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-908,BARTENWERFER v. BUCKLEY,2/22/2023,NMGorsuch,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-908,BARTENWERFER v. BUCKLEY,2/22/2023,BMKavanaugh,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-908,BARTENWERFER v. BUCKLEY,2/22/2023,ACBarrett,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-908,BARTENWERFER v. BUCKLEY,2/22/2023,KBJackson,regular concurrence,Respondent,Respondent/Appellee won
2022,1710,21-1052,"U.S., EX REL. POLANSKY v. EXECUTIVE HEALTH RESOURCES",6/16/2023,JGRoberts,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-1052,"U.S., EX REL. POLANSKY v. EXECUTIVE HEALTH RESOURCES",6/16/2023,CThomas,dissent,Petitioner,Respondent/Appellee won
2022,1710,21-1052,"U.S., EX REL. POLANSKY v. EXECUTIVE HEALTH RESOURCES",6/16/2023,SAAlito,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-1052,"U.S., EX REL. POLANSKY v. EXECUTIVE HEALTH RESOURCES",6/16/2023,SSotomayor,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-1052,"U.S., EX REL. POLANSKY v. EXECUTIVE HEALTH RESOURCES",6/16/2023,EKagan,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-1052,"U.S., EX REL. POLANSKY v. EXECUTIVE HEALTH RESOURCES",6/16/2023,NMGorsuch,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-1052,"U.S., EX REL. POLANSKY v. EXECUTIVE HEALTH RESOURCES",6/16/2023,BMKavanaugh,regular concurrence,Respondent,Respondent/Appellee won
2022,1710,21-1052,"U.S., EX REL. POLANSKY v. EXECUTIVE HEALTH RESOURCES",6/16/2023,ACBarrett,regular concurrence,Respondent,Respondent/Appellee won
2022,1710,21-1052,"U.S., EX REL. POLANSKY v. EXECUTIVE HEALTH RESOURCES",6/16/2023,KBJackson,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-1158,PERCOCO v. UNITED STATES,5/11/2023,JGRoberts,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-1158,PERCOCO v. UNITED STATES,5/11/2023,CThomas,special concurrence,Petitioner,Petitioner/Appellant won
2022,1710,21-1158,PERCOCO v. UNITED STATES,5/11/2023,SAAlito,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-1158,PERCOCO v. UNITED STATES,5/11/2023,SSotomayor,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-1158,PERCOCO v. UNITED STATES,5/11/2023,EKagan,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-1158,PERCOCO v. UNITED STATES,5/11/2023,NMGorsuch,special concurrence,Petitioner,Petitioner/Appellant won
2022,1710,21-1158,PERCOCO v. UNITED STATES,5/11/2023,BMKavanaugh,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-1158,PERCOCO v. UNITED STATES,5/11/2023,ACBarrett,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-1158,PERCOCO v. UNITED STATES,5/11/2023,KBJackson,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-1164,WILKINS v. UNITED STATES,3/28/2023,JGRoberts,dissent,Respondent,Petitioner/Appellant won
2022,1710,21-1164,WILKINS v. UNITED STATES,3/28/2023,CThomas,dissent,Respondent,Petitioner/Appellant won
2022,1710,21-1164,WILKINS v. UNITED STATES,3/28/2023,SAAlito,dissent,Respondent,Petitioner/Appellant won
2022,1710,21-1164,WILKINS v. UNITED STATES,3/28/2023,SSotomayor,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-1164,WILKINS v. UNITED STATES,3/28/2023,EKagan,voted with majority or plurality,Petitioner,Petitioner/Appellant won
